[14.10.2012 9:14:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:15:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:16:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:17:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:18:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:19:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:20:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:21:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:22:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:23:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:24:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:25:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:26:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:27:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:28:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:29:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:30:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:31:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:32:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:33:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:34:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:35:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:36:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:37:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:38:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:39:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:40:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:41:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:42:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:43:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:44:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:45:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:46:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:47:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:48:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:49:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:50:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:51:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:52:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:53:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:54:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:55:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:56:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:57:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:58:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 9:59:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:00:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:01:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:02:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:03:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:04:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:05:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:06:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:07:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:08:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:09:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:10:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:11:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:12:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:13:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:14:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:15:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:16:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:17:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:18:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:19:02] inner loop ended, sleeping for 60 seconds.
